"Run Fondo";"fecha";"Nombre FFMM";"Nemotécnico instrumento";"Rut emisor";"Digito Verificador";"Nombre emisor";"Codigo país emisor";"Tipo instrumento";"Fecha vencimiento";"Situacion instrumento";"Clasificación riesgo";"Código grupo empresarial";"N° grupo empresarial";"Cantidad unidades";"Tipo unidades";"TIR ";"Valor par";"Valor relevante";"Codigo valorización";"Base tasa";"Tipo interés";"valorización cierre";"Código moneda liquidación";"Código país transacción";"% capital emisor";"% activo emisor";"% activo fondo"
"8159";"2023-07-31";ASIA EMERGENTE ;EWT US;-;-;ISHARES MSCI TAIWAN ISHARES MS;US;ETFA;-;"1";NA;-;NA;"30875";PROM;-;-;"40252.24";"3";"0";NA;"1242788";PROM;US;"0.0%";"0.0%";"5.7%"
"8159";"2023-07-31";ASIA EMERGENTE ;FFEMASY LX;-;-;FIDELITY-EMERG AS-Y FIDELITY-E;LU;CFME;-;"1";NA;-;NA;"45788.59";PROM;-;-;"33888.21";"3";"0";NA;"1551693";PROM;LU;"0.1%";"158.2%";"7.1%"
"8159";"2023-07-31";ASIA EMERGENTE ;GMF US;-;-;SPDR S&P EMERGING AS SPDR S&P;US;ETFA;-;"1";NA;-;NA;"12659";PROM;-;-;"88358.7";"3";"0";NA;"1118533";PROM;US;"0.0%";"0.3%";"5.1%"
"8159";"2023-07-31";ASIA EMERGENTE ;MERDUD2 LX;-;-;BLACKROCK GLOBAL FUN BLACKROCK;LU;CFME;-;"1";NA;-;NA;"43287.89";PROM;-;-;"43951.27";"3";"0";NA;"1902558";PROM;LU;"0.1%";"0.1%";"8.7%"
"8159";"2023-07-31";ASIA EMERGENTE ;MIASLUI LX;-;-;MIRAE ASIA SECTOR LD MIRAE ASI;LU;CFME;-;"1";NA;-;NA;"136959.71";PROM;-;-;"14392.61";"3";"0";NA;"1971208";PROM;LU;"0.7%";"0.9%";"9.0%"
"8159";"2023-07-31";ASIA EMERGENTE ;SCHECAC LX;-;-;SCHRODER INTERNATION SCHRODER;LU;CFME;-;"1";NA;-;NA;"38920.74";PROM;-;-;"46352.62";"3";"0";NA;"1804078";PROM;LU;"0.0%";"0.1%";"8.3%"
"8159";"2023-07-31";ASIA EMERGENTE ;IVASCUA LX;-;-;INVESCO ASEAN EQUITY INVESCO A;LU;CFME;-;"1";NA;-;NA;"101041.51";PROM;-;-;"17931.92";"3";"0";NA;"1811868";PROM;LU;"0.1%";"0.2%";"8.3%"
"8159";"2023-07-31";ASIA EMERGENTE ;IDKO LN;-;-;ISHARES MSCI KOREA;IE;ETFA;-;"1";NA;-;NA;"27491";PROM;-;-;"39440.97";"3";"0";NA;"1084272";PROM;GB;"0.0%";"0.0%";"5.0%"
"8159";"2023-07-31";ASIA EMERGENTE ;XCS6 LN;-;-;X MSCI CHINA 1C;LU;ETFA;-;"1";NA;-;NA;"102091";PROM;-;-;"12969.74";"3";"0";NA;"1324094";PROM;GB;"0.0%";"0.0%";"6.1%"
"8159";"2023-07-31";ASIA EMERGENTE ;CEMA LN;-;-;ISHARES MSCI EM ASIA ACC;IE;ETFA;-;"1";NA;-;NA;"7870";PROM;-;-;"138528.9";"3";"0";NA;"1090222";PROM;GB;"0.0%";"0.0%";"5.0%"
"8159";"2023-07-31";ASIA EMERGENTE ;AASU FP;-;-;AMUNDI MSCI EM ASIA UCITS;FR;ETFA;-;"1";NA;-;NA;"63460";PROM;-;-;"30955.38";"3";"0";NA;"1964428";PROM;FR;"0.0%";"0.0%";"9.0%"
"8159";"2023-07-31";ASIA EMERGENTE ;LYINR SW;-;-;LYXOR MSCI INDIA UCITS ETF;FR;ETFA;-;"1";NA;-;NA;"7881";PROM;-;-;"22290.9";"3";"0";NA;"175675";PROM;CH;"0.0%";"0.0%";"0.8%"
"8159";"2023-07-31";ASIA EMERGENTE ;XAXD LN;-;-;XTRACKERS MSCI AC ASIA EX JAPA;JP;ETFA;-;"1";NA;-;NA;"50144";PROM;-;-;"38982.8";"3";"0";NA;"1954754";PROM;GB;"0.0%";"0.0%";"8.9%"
"8159";"2023-07-31";ASIA EMERGENTE ;CMGAGTI ID;-;-;FIRST STATE GLOBAL U FIRST STA;IE;CFME;-;"1";NA;-;NA;"21758.48";PROM;-;-;"59439.39";"3";"0";NA;"1293311";PROM;IE;"0.2%";"0.3%";"5.9%"
"8178";"2023-07-31";BICE ACCIONES ASIA;GSASIIA LX;-;-;GS ASIA EQPT IA;LU;CFME;-;"1";NA;-;NA;"436935.69";PROM;-;-;"10643.14";"3";"0";NA;"4650368";PROM;LU;"0.0%";"0.0%";"95.9%"
"8514";"2023-07-31";ASIA;EPI;-;-;WISDOMTREE JAPAN HEDGED EQ;US;ETFA;-;"1";NA;-;NA;"54";PROM;-;-;"30752.44";"3";"0";NA;"1661";PROM;US;"0.0%";"0.0%";"0.0%"
"8514";"2023-07-31";ASIA;SCHACEC;-;-;SISF ALL CHINA EQUITY-C USD;LU;CFME;-;"1";NA;-;NA;"3574.62";PROM;-;-;"109352.58";"3";"0";NA;"390894";PROM;US;"0.0%";"0.0%";"3.1%"
"8514";"2023-07-31";ASIA;ROBIEDU;-;-;ROBECO INDIAN EQUITIES-DUSD;LU;CFME;-;"1";NA;-;NA;"4092.51";PROM;-;-;"211122.48";"3";"0";NA;"864021";PROM;US;"0.0%";"0.0%";"6.9%"
"8514";"2023-07-31";ASIA;SCISCAC;-;-;SCHRODER INTL SEL CHINA A-C;LU;CFME;-;"1";NA;-;NA;"5613.41";PROM;-;-;"114749.06";"3";"0";NA;"644134";PROM;US;"0.0%";"0.0%";"5.2%"
