"Run Fondo";"fecha";"serie";"1 mes";"3 meses";"6 meses";"1 año";"Último año"
"8159";2023-01-31;APV;"2.720%";"11.048%";-4.448%;-8.638%;"2.719%"
"8178";2023-01-31;APV;"4.842%";"18.105%";-3.910%;-16.995%;"4.836%"
"8514";2023-01-31;APV;"3.795%";"10.760%";-6.315%;-14.402%;"3.790%"
"9023";2023-01-31;APV;"2.918%";"7.800%";-6.985%;-12.707%;"2.472%"
"8159";2023-02-01;APV;"2.185%";"10.470%";-3.520%;-9.457%;"2.184%"
"8178";2023-02-01;APV;"1.572%";"14.421%";-4.893%;-19.359%;"1.561%"
"8514";2023-02-01;APV;"3.656%";"10.612%";-4.483%;-14.599%;"3.646%"
"9023";2023-02-01;APV;"3.110%";"8.003%";-6.470%;-11.986%;"2.653%"
"8159";2023-02-02;APV;"1.128%";"6.091%";-4.432%;-11.122%;"1.126%"
"8178";2023-02-02;APV;"1.368%";"13.757%";-4.317%;-20.149%;"1.352%"
"8514";2023-02-02;APV;"2.053%";"6.729%";-6.194%;-16.523%;"2.038%"
"9023";2023-02-02;APV;"1.553%";"4.025%";-5.998%;-13.222%;"1.103%"
"8159";2023-02-03;APV;"0.499%";"5.828%";-5.671%;-11.835%;"1.214%"
"8178";2023-02-03;APV;"1.766%";"9.762%";-4.946%;-20.528%;"2.036%"
"8514";2023-02-03;APV;"0.645%";"5.378%";-8.308%;-17.435%;"1.489%"
"9023";2023-02-03;APV;-1.773%;"2.272%";-8.545%;-15.532%;-1.104%
"8159";2023-02-04;APV;-1.664%;"4.236%";-6.137%;-13.167%;"1.213%"
"8178";2023-02-04;APV;-0.535%;"11.790%";-5.118%;-21.797%;"2.031%"
"8514";2023-02-04;APV;-3.028%;"3.061%";-8.574%;-18.628%;"1.484%"
"9023";2023-02-04;APV;-2.357%;-0.783%;-9.403%;-16.528%;-0.169%
"8159";2023-02-05;APV;-2.415%;"4.236%";-7.234%;-13.165%;"1.212%"
"8178";2023-02-05;APV;-0.622%;"11.789%";-8.005%;-21.797%;"2.026%"
"8514";2023-02-05;APV;-3.354%;"3.061%";-9.660%;-18.628%;"1.479%"
"9023";2023-02-05;APV;-3.228%;"0.950%";-9.311%;-17.367%;-0.177%
"8159";2023-02-06;APV;-2.175%;"4.123%";-7.334%;-13.257%;"1.102%"
"8178";2023-02-06;APV;-1.747%;"10.370%";-9.173%;-22.790%;"0.725%"
"8514";2023-02-06;APV;-3.520%;"3.052%";-9.669%;-18.636%;"1.464%"
"9023";2023-02-06;APV;-5.909%;-0.927%;-12.036%;-18.906%;-2.044%
"8159";2023-02-07;APV;-2.739%;"3.596%";-7.868%;-13.878%;"0.519%"
"8178";2023-02-07;APV;-2.161%;"7.002%";-9.555%;-23.815%;"0.295%"
"8514";2023-02-07;APV;-3.708%;"3.315%";-9.845%;-18.909%;"1.262%"
"9023";2023-02-07;APV;-2.800%;"0.075%";-10.184%;-17.310%;"0.010%"
"8159";2023-02-08;APV;-3.217%;"3.867%";-7.602%;-14.104%;"0.024%"
"8178";2023-02-08;APV;-2.402%;"8.198%";-8.452%;-23.465%;"0.044%"
"8514";2023-02-08;APV;-4.498%;"3.176%";-9.449%;-19.563%;"0.427%"
"9023";2023-02-08;APV;-3.334%;"0.453%";-10.764%;-17.582%;-0.548%
"8159";2023-02-09;APV;-3.003%;"6.500%";-5.438%;-13.866%;"1.507%"
"8178";2023-02-09;APV;"0.684%";"10.687%";-5.458%;-22.852%;"1.982%"
"8514";2023-02-09;APV;-3.488%;"6.239%";-7.106%;-19.330%;"1.838%"
"9023";2023-02-09;APV;-4.797%;"2.577%";-9.388%;-18.148%;-0.260%
"8159";2023-02-10;APV;-3.131%;"5.440%";-4.935%;-13.076%;"0.753%"
"8178";2023-02-10;APV;-3.391%;"10.949%";-5.045%;-21.985%;"0.693%"
"8514";2023-02-10;APV;-4.361%;"3.804%";-6.984%;-18.138%;"0.932%"
"9023";2023-02-10;APV;-4.713%;"0.779%";-9.595%;-18.693%;-1.118%
"8159";2023-02-11;APV;-2.631%;"2.269%";-5.582%;-12.526%;"0.751%"
"8178";2023-02-11;APV;-3.223%;"4.494%";-6.949%;-22.483%;"0.688%"
"8514";2023-02-11;APV;-3.861%;"0.958%";-7.214%;-17.249%;"0.927%"
"9023";2023-02-11;APV;-4.086%;"0.091%";-8.855%;-15.886%;-0.558%
"8159";2023-02-12;APV;-2.424%;"2.269%";-5.495%;-12.524%;"0.750%"
"8178";2023-02-12;APV;-2.178%;"4.489%";-7.040%;-22.483%;"0.683%"
"8514";2023-02-12;APV;-3.563%;"0.958%";-7.724%;-17.249%;"0.922%"
"9023";2023-02-12;APV;-3.369%;"0.777%";-8.394%;-16.100%;-0.566%
"8159";2023-02-13;APV;-4.121%;"1.505%";-6.201%;-13.176%;-0.003%
"8178";2023-02-13;APV;-4.940%;"3.745%";-7.697%;-23.032%;-0.035%
"8514";2023-02-13;APV;-5.122%;"0.609%";-8.043%;-17.535%;"0.568%"
"9023";2023-02-13;APV;-3.527%;"1.086%";-8.146%;-15.837%;-0.262%
"8159";2023-02-14;APV;-4.705%;-1.008%;-6.771%;-12.648%;-0.612%
"8178";2023-02-14;APV;-5.060%;"1.806%";-7.815%;-22.911%;-0.167%
"8514";2023-02-14;APV;-5.832%;-2.013%;-8.730%;-17.602%;-0.189%
"9023";2023-02-14;APV;-4.744%;-1.170%;-9.075%;-15.339%;-1.279%
"8159";2023-02-15;APV;-5.482%;-3.601%;-7.531%;-13.603%;-1.424%
